L1,L2,acc,alpha,dim_hid,eps,hid_function,mini_batch_size,out_function,rmse
None,0.01,0.050625,0.1,30,500,logsig,1,linear,194972.372219105
None,0.01,0.281875,0.1,20,500,tanh,1,linear,399.2570262225687
None,0.01,0.8712499999999999,0.1,30,500,tanh,1,linear,None
None,0.01,0.009375000000000001,0.1,20,500,logsig,1,logsig,400934.76125593216
None,0.01,0.008125,0.1,30,500,logsig,1,logsig,427265.705283397
None,0.01,0.0125,0.1,20,500,tanh,1,logsig,357430.17982162925
None,0.01,0.01625,0.1,30,500,tanh,1,logsig,366063.78036457405
None,0.01,0.05,0.1,20,500,logsig,12,linear,1473.8488355551467
None,0.01,0.069375,0.1,30,500,logsig,12,linear,1802.9764687191723
None,0.01,0.053125000000000006,0.1,20,500,tanh,12,linear,1032.5873672723928
None,0.01,0.036250000000000004,0.1,30,500,tanh,12,linear,1193.7643143008606
None,0.01,0.052500000000000005,0.1,20,500,logsig,12,logsig,6009.509182638602
None,0.01,0.050625,0.1,30,500,logsig,12,logsig,6171.1460244815125
None,0.01,0.02375,0.1,20,500,tanh,12,logsig,4428.939650340951
None,0.01,0.028125,0.1,30,500,tanh,12,logsig,4370.047274667904
None,0.01,0.8668749999999998,0.3,20,200,logsig,1,linear,None
None,0.01,0.8531249999999999,0.3,30,200,logsig,1,linear,None
None,0.01,0.8531249999999999,0.3,20,200,tanh,1,linear,None
None,0.01,0.8674999999999999,0.3,30,200,tanh,1,linear,None
None,0.01,0.008125,0.3,20,200,logsig,1,logsig,805683.955562624
None,0.01,0.015000000000000001,0.3,30,200,logsig,1,logsig,768853.1331630009
None,0.01,0.029375,0.3,20,200,tanh,1,logsig,1069364.1450475864
None,0.01,0.014375,0.3,30,200,tanh,1,logsig,1109108.602762762
None,0.01,0.054375,0.3,20,200,logsig,12,linear,2057.273920493259
None,0.01,0.055625,0.3,30,200,logsig,12,linear,2418.1251060643617
None,0.01,0.08625,0.3,20,200,tanh,12,linear,1230.2238347032212
None,0.01,0.098125,0.3,30,200,tanh,12,linear,1016.2140872920703
None,0.01,0.0475,0.3,20,200,logsig,12,logsig,6896.41020835287
None,0.01,0.040625,0.3,30,200,logsig,12,logsig,6985.089854393704
None,0.01,0.033125,0.3,20,200,tanh,12,logsig,4927.590441911149
None,0.01,0.03,0.3,30,200,tanh,12,logsig,4972.573932138493
None,0.01,0.855,0.3,20,500,logsig,1,linear,None
None,0.01,0.860625,0.3,30,500,logsig,1,linear,None
None,0.01,0.8487499999999999,0.3,20,500,tanh,1,linear,None
None,0.01,0.8612499999999998,0.3,30,500,tanh,1,linear,None
None,0.01,0.01125,0.3,20,500,logsig,1,logsig,29868339.064893678
None,0.01,0.010624999999999999,0.3,30,500,logsig,1,logsig,31553812.67602572
None,0.01,0.016875,0.3,20,500,tanh,1,logsig,38290569.95415766
None,0.01,0.020625,0.3,30,500,tanh,1,logsig,39747505.851725094
None,0.01,0.036250000000000004,0.3,20,500,logsig,12,linear,3803.487094809605
None,0.01,0.060000000000000005,0.3,30,500,logsig,12,linear,4617.392397858156
None,0.01,0.081875,0.3,20,500,tanh,12,linear,1907.4701135028981
None,0.01,0.11375,0.3,30,500,tanh,12,linear,2283.9613483309913
None,0.01,0.025,0.3,20,500,logsig,12,logsig,12697.570980890314
None,0.01,0.030625,0.3,30,500,logsig,12,logsig,12975.660132064628
None,0.01,0.023125,0.3,20,500,tanh,12,logsig,8232.590220349943
None,0.01,0.015000000000000001,0.3,30,500,tanh,12,logsig,8366.977418218812
